userCode,userID
U297977,49654
U019585,3158
U182778,30231
U169213,28035
U229825,38192
U173697,28768
U040207,6526
U087833,14483
U216187,35975
U169659,28112
U160134,26524
U272123,45346
U019666,3175
U081012,13332
U021648,3492
U199351,33099
U077475,12759
U241821,40215
U197595,32803
U218630,36354
U068375,11214
U137688,22801
U136492,22611
U124599,20638
U212741,35392
U119972,19887
U274016,45644
U245265,40801
U023810,3840
U254804,42459
U200318,33270
U296478,49417
U109537,18129
U113596,18827
U053524,8719
U023101,3729
U082305,13549
U175668,29076
U036685,5928
U235391,39121
U037908,6142
U096430,15934
U221409,36823
U026183,4217
U185778,30746
U065623,10765
U034825,5617
U089188,14707
U265651,44285
U259254,43226
U024183,3904
U156909,25992
U011162,1792
U020902,3374
U065903,10812
U094374,15609
U037358,6039
U128043,21207
U222918,37079
U149878,24848
U024973,4030
U178339,29512
U078358,12906
U206292,34292
U184273,30479
U136635,22630
U032981,5330
U170922,28328
U291509,48571
U162247,26856
U096353,15923
U005250,828
U043664,7099
U279332,46527
U001868,310
U097356,16096
U201625,33492
U066263,10859
U169208,28034
U144305,23938
U145650,24173
U026320,4244
U234296,38957
U036825,5945
U066248,10854
U125329,20747
U062602,10257
U212216,35307
U295872,49329
U029114,4713
U057591,9413
U161808,26787
U051134,8309
U242021,40256
U089884,14828
U040347,6552
U144771,24022
U186913,30942
U178431,29529
U190968,31680
U285955,47602
U198140,32899
U220195,36621
U079274,13056
U287657,47915
U040980,6659
U277891,46267
U220857,36733
U273013,45507
U114424,18959
U237757,39527
U002326,383
U090380,14918
U210917,35084
U046345,7491
U147300,24435
U201305,33442
U049443,8036
U103659,17136
U290760,48417
U027102,4375
U232828,38711
U224495,37344
U290395,48361
U235316,39110
U191775,31816
U259520,43266
U210681,35037
U000406,67
U112792,18698
U156555,25939
U255474,42576
U123418,20447
U038742,6273
U271173,45195
U019383,3121
U095724,15830
U003291,526
U019607,3162
U105484,17439
U281483,46890
U019678,3178
U126739,20982
U147082,24397
U241873,40229
U039453,6401
U067627,11099
U096817,16012
U157367,26067
U230924,38384
U175697,29083
U070145,11523
U119538,19818
U228696,38005
U138284,22899
U021420,3460
U113464,18802
U104288,17230
U220651,36694
U200036,33224
U074694,12276
U238234,39605
U257216,42892
U248027,41268
U097546,16140
U141652,23482
U122602,20326
U223799,37237
U123851,20519
U092163,15237
U122781,20352
U267292,44533
U172720,28603
U179108,29628
U049083,7970
U089600,14781
U287088,47804
U245545,40835
U209558,34855
U264347,44064
U281458,46889
U225177,37453
U090919,14998
U181170,29967
U278851,46442
U296085,49352
U183550,30354
U004672,737
U266211,44363
U052809,8588
U128901,21359
U284216,47313
U244201,40622
U180785,29905
U072874,11967
U116181,19227
U000745,123
U209189,34793
U077059,12691
U089790,14813
U071507,11737
U120279,19936
U064151,10522
U056447,9196
U186972,30954
U066681,10930
U140687,23311
U253605,42222
U254401,42378
U058472,9540
U254030,42305
U245888,40906
U004798,761
U016909,2736
U143479,23796
U250518,41714
U084677,13945
U200742,33362
U127757,21160
U101081,16720
U037188,6007
U228489,37968
U055835,9103
U062957,10330
U291668,48600
U177394,29362
U221230,36798
U023331,3771
U285170,47464
U028840,4667
U013263,2158
U243136,40435
U226993,37720
U063499,10422
U071212,11693
U217482,36174
U051307,8340
U020276,3276
U008020,1260
U216372,36005
U167475,27748
U166949,27648
U036891,5958
U191924,31848
U139102,23036
U272503,45430
U185508,30701
U067594,11089
U073433,12058
U190190,31559
U238144,39585
U218664,36360
U036413,5878
U281753,46934
U217873,36239
U196459,32605
U036156,5835
U200704,33351
U198436,32949
U127022,21036
U269715,44966
U226425,37629
U239185,39779
U277076,46139
U244669,40704
U158129,26189
U299110,49851
U021718,3506
U085572,14089
U159542,26434
U128307,21256
U161584,26748
U221285,36807
U232708,38692
U114790,19016
U136773,22658
U145853,24198
U009663,1535
U041662,6774
U162666,26922
U198698,32981
U205470,34153
U203603,33826
U110746,18347
U197025,32693
U242143,40278
U236069,39242
U190843,31656
U147635,24499
U172507,28579
U252629,42052
U065300,10710
U112835,18705
U197311,32754
U003863,610
U230726,38347
U012835,2077
U282019,46979
U057574,9408
U101553,16798
U251932,41939
U056035,9129
U023936,3862
U072901,11970
U102388,16933
U011440,1844
U276851,46095
U176003,29133
U133120,22067
U257022,42850
U297928,49652
U241459,40170
U146563,24304
U052912,8611
U194037,32196
U172310,28549
U048380,7846
U117629,19462
U083149,13688
U242877,40399
U059018,9640
U279362,46535
U208603,34701
U057743,9436
U004169,663
U287881,47949
U146982,24382
U148169,24578
U144011,23896
U186958,30952
U005574,873
U296218,49378
U279482,46552
U014160,2278
U280963,46807
U130111,21547
U138579,22947
U179159,29636
U219261,36468
U265419,44247
U292829,48792
U216874,36078
U227231,37765
U205770,34205
U118079,19529
U072203,11858
U233925,38899
U051791,8407
U144810,24031
U239019,39748
U066349,10873
U036444,5889
U130768,21654
U098289,16265
U157265,26052
U032661,5292
U158868,26324
U110981,18382
U110123,18238
U272343,45393
U157112,26026
U067427,11054
U230093,38235
U014349,2317
U290204,48339
U163584,27093
U255011,42502
U192956,32026
U178406,29523
U021496,3473
U048837,7931
U026941,4350
U232495,38652
U277535,46205
U195329,32417
U295334,49225
U208835,34736
U295051,49170
U096314,15917
U248058,41275
U225704,37520
U126494,20936
U255258,42536
U290390,48360
U110573,18311
U160149,26529
U241937,40240
U154583,25610
U277818,46252
U129561,21459
U292191,48690
U236827,39356
U248422,41342
U196820,32661
U205919,34224
U170988,28338
U032345,5237
U024643,3974
U216945,36091
U198965,33032
U089436,14748
U210789,35061
U295871,49328
U030713,4963
U088176,14531
U078779,12973
U290337,48350
U034811,5614
U023308,3769
U041144,6692
U204215,33941
U018519,2981
U091529,15114
U041410,6741
U223581,37206
U204362,33965
U260855,43474
U074558,12245
U142261,23592
U242131,40276
U215797,35901
U030317,4893
U063553,10434
U099654,16485
U197314,32755
U043174,7009
U213964,35598
U271299,45218
U211468,35178
U099445,16457
